lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
sonrisa	1	sí	44.6364	3	58.7568	10	55.3677	12	31.0373	5	112.745	7
labio	1	sí	21.452	3	9.5528	3	57.6804	12	36.7026	5	28.4142	3
impedir	1	sí	0	0	0.022	1	13.6768	6	35.4481	6	65.54	5
rocío	1	sí	0	0	26.1745	12	0	0	2.2844	1	37.8856	3
carnívoro	1	sí	0	0	0	0	0.9081	1	0	0	0	0
precaución	1	sí	0	0	3.1429	2	0	0	1.826	1	48.776	3
emocionar yo	1	no										
versión	1	sí	31.769	2	33.4949	6	25.4358	6	100.207	11	38.1253	2
podrás	1	no										
sabré	1	no										
original	1	sí	90.4707	5	13.7781	4	68.8149	15	111.515	11	89.1746	6
adorar	1	sí	0	0	44.5907	7	25.8897	7	11.3324	2	9.4714	1
mirarte	1	no										
elevar yo	1	no										
irremediablemente	1	no										
comprender	1	sí	118.199	10	134.066	29	223.113	41	69.8897	11	286.595	19
imperfecto	1	sí	0	0	0	0	0	0	6.8912	2	9.4714	1
descubro	1	no										
estructura	1	sí	0	0	2.9415	1	15.7444	4	54.4371	7	64.8818	5
locura	1	sí	0	0	0	0	7.7505	3	3.4456	1	91.3883	4
claridad	1	sí	0	0	6.939	2	0	0	12.2342	2	0	0
determinación	1	sí	0	0	0	0	0	0	12.2342	2	8.5078	1
creación	1	sí	4.8253	1	27.3691	5	27.59	7	38.7227	8	68.0625	5
influencia	1	sí	23.1041	2	70.9498	12	32.9023	8	84.4565	9	64.8818	5
arruinaste	1	no										
arruinar	1	sí	0	0	3.1564	2	0	0	2.2844	1	0	0
debo	1	no										
iniciar	1	sí	0	0	7.8139	3	10.0597	3	127.013	13	87.6065	7
excusa	1	sí	5.3543	1	6.7748	2	19.945	5	22.4166	4	9.4714	1
sigar	1	no										
suficientemente	1	no										
ser él	1	no										
cualquiera	1	sí	221.753	9	104.54	15	145.697	26	529.77	46	369.427	24
veía	1	no										
amamos	1	no										
atreir	1	no										
déjala	1	no										
rapido	1	no										
mueir	1	no										
minuto	1	sí	54.571	5	77.5773	13	93.006	18	163.239	15	38.8023	3
llor	1	no										
papito	1	no										
sujetar él	1	no										
perdóname	1	no										
hacerno	1	no										
capaz	1	sí	4.8253	1	1.0521	1	66.5785	11	102.439	7	127.585	11
mujer	1	sí	764.237	29	1040.17	101	1117.82	129	581.828	44	912.738	40
enamorada	1	no										
llenas	1	no										
hambre	1	sí	41.9605	3	137.398	17	83.2829	18	18.4738	3	50.2059	4
andar	1	sí	196.819	9	121.189	19	239.396	42	144.633	15	192.043	13
rincón	1	sí	43.661	3	24.6325	5	26.2077	6	59.6508	7	0	0
inseparables	1	no										
seguirás	1	no										
desorientado	1	no										
capullo	1	no										
abrigada	1	no										
tumbando	1	no										
pared	1	sí	58.0892	5	70.4161	11	77.0337	16	59.3961	8	210.626	12
perder él	1	no										
lastimado	1	no										
sufrir	1	sí	12.0516	3	44.6264	8	79.3033	18	127.376	15	144.205	11
arregler	1	no										
enviar	1	sí	67.3016	5	141.65	23	117.516	27	276.178	37	8.5078	1
necia	1	no										
vamonos	1	no										
lleva	1	no										
preocupastar	1	no										
encontrár	1	no										
abeja	1	sí	0	0	1.1794	1	0	0	5.4781	2	0	0
guardar	1	sí	23.2306	2	122.856	20	130.338	24	72.4797	9	89.1746	7
vislumbrar	1	no										
estallar	1	sí	0	0	0	0	4.5672	2	3.4456	1	78.9848	6
arder	1	sí	0	0	1.3169	1	0	0	17.493	2	18.9428	2
aferrar	1	sí	0	0	0	0	0	0	0	0	8.5078	1
error	1	sí	14.476	3	27.3175	6	25.9549	6	66.1668	8	161.649	11
temor	1	sí	0	0	0	0	2.5862	2	3.4456	1	26.3283	2
alejar	1	sí	21.452	3	12.117	3	82.5208	15	109.171	14	65.54	5
lección	1	sí	9.6507	2	0	0	0.7224	1	11.3435	2	0	0
lamento	1	sí	0	0	0	0	0	0	3.4744	1	0	0
molestarte	1	no										
sudabas	1	no										
nevar	1	sí	31.8523	2	8.526	3	0	0	3.4456	1	0	0
sospecha	1	sí	0	0	6.5998	2	2.2836	1	0	0	18.9428	2
disculpar yo	1	no										
esperé	1	no										
abrázanos	1	no										
disfrutar	1	sí	199.668	11	118.868	17	138.228	27	246.406	27	78.203	7
diario	1	sí	129.663	7	120.161	14	78.1625	13	62.5352	7	65.54	4
escuché	1	no										
acá	1	sí	85.808	10	33.0344	8	50.2397	17	22.3091	3	0	0
pasión	1	sí	71.5901	5	45.0841	7	32.054	8	80.7284	10	143.298	8
equipo	1	sí	55.947	4	216.644	24	229.738	28	332.268	31	184.298	11
vigor	1	sí	0	0	0	0	6.0381	2	14.1566	2	0	0
suelo	1	sí	106.147	6	84.9411	12	160.737	28	158.191	15	381.331	16
llorar	1	sí	14.3013	2	101.099	16	135.177	25	71.6438	9	183.339	15
compartir	1	sí	101.77	6	52.9395	10	116.736	21	227.35	25	184.714	12
labor	1	sí	0	0	0	0	10.2315	3	90.3042	9	38.1253	3
emocionante	1	sí	5.0445	1	16.8053	4	14.5822	5	0	0	0	0
querré	1	no										
fertilizante	1	sí	0	0	0	0	0	0	2.6116	1	0	0
espigas	1	no										
flotar	1	sí	7.1507	1	0	0	1.2931	1	3.4456	1	38.8023	3
elevar	1	sí	0	0	8.8774	3	12.9104	5	88.7629	11	87.0846	7
ardiendo	1	no										
irradiar	1	no										
calor	1	sí	153.587	7	148.06	18	130.19	20	40.4909	5	71.7298	5
notar	1	sí	7.1507	1	40.2837	11	85.67	17	23.429	5	196.62	13
ofrecer	1	sí	418.01	21	166.594	25	313.683	54	471.329	46	605.868	42
informado	1	no										
bye	1	no										
proteg	1	no										
madre	1	sí	300.237	14	332.406	36	410.614	47	244.424	21	642.919	24
poesía	1	sí	23.2306	2	79.3032	15	85.5483	14	10.9736	2	18.9428	2
suel	1	no										
escribir	1	sí	576.355	29	661.528	81	501.329	88	544.626	56	490.93	35
quisierar	1	no										
casamos	1	no										
tranqui	1	no										
mirer	1	no										
valiente	1	sí	4.954	1	15.3225	4	23.2786	6	0	0	9.4714	1
resplandor	1	sí	0	0	0	0	0.4332	1	3.4456	1	0	0
interior	1	sí	41.2333	3	24.0412	5	30.8098	7	46.2111	6	143.298	10
entren	1	no										
