lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
razón	5	sí	120.743	8	168.555	21	196.059	34	203.149	21	194.012	15
depender	5	sí	0	0	115.998	15	108.737	19	142.251	16	65.54	5
encontrar	5	sí	1015.49	42	1035.47	108	1222.38	189	1101.44	106	839.591	62
buscar	5	sí	765.863	34	849.713	95	483.773	96	782.422	76	513.141	35
guzmán	5	no										
propuesta	5	sí	0	0	17.732	5	10.2422	3	65.2348	10	58.8744	5
dañar	5	sí	0	0	0	0	4.2521	2	23.2818	4	25.5235	3
presión	5	sí	0	0	6.1298	2	17.9315	7	67.6347	7	51.0469	3
sol	5	sí	310.465	15	364.262	40	338.065	39	140.917	14	249.635	11
oruguita	5	no										
pedro	4	no										
peligro	4	sí	7.1507	1	40.8978	8	75.242	11	40.545	4	48.776	4
comunidad	4	sí	50.0922	3	138.419	17	80.6613	12	87.4799	10	255.171	15
orgullo	4	sí	0	0	1.0067	1	3.0199	2	3.4744	1	18.9428	2
traer	4	sí	287.993	13	181.571	24	223.726	35	118.266	15	102.635	9
ceremonia	4	sí	0	0	2.9415	1	75.9856	14	10.4233	3	297.807	11
clima	4	sí	333.073	16	47.3446	9	54.965	11	46.1169	6	37.8856	3
brazo	4	sí	73.2272	4	81.5694	16	107.122	15	64.2557	8	77.6046	6
prima	4	sí	15.1336	3	34.5754	6	3.9457	3	22.575	3	8.5078	1
comenzar	4	sí	79.9351	5	85.888	14	124.96	23	221.292	26	262.026	15
pedir	4	sí	428.442	20	392.955	53	466.059	82	724.336	72	517.647	39
hablé	4	no										
único	4	sí	93.7304	6	261.622	32	378.232	59	442.555	45	328.658	24
resto	4	sí	64.756	5	66.1398	12	71.6801	14	186.551	22	179.451	12
lograr	4	sí	0	0	6.6654	4	72.7394	15	167.319	20	194.012	15
estás	4	no										
preocupar	4	sí	148.325	10	113.884	17	222.971	41	179.411	20	194.012	13
colombia	4	sí	0	0	0	0	0	0	1.826	1	0	0
despertar	4	sí	38.399	4	50.5172	10	70.2338	14	26.1486	4	34.0313	3
sueño	4	sí	21.4995	2	216.446	28	99.9738	18	65.718	9	171.225	12
respuesta	4	sí	127.382	7	172.516	19	128.16	20	274.814	25	236.931	17
caer	4	sí	32.4278	3	83.6891	23	209.727	37	140.916	16	278.855	18
bello	4	sí	71.2639	6	115.274	22	122.48	26	75.0977	9	71.7298	5
oye	4	no										
hola	4	sí	763.541	35	151.231	26	174.067	24	78.9976	9	28.4142	3
problema	4	sí	574.551	23	681.763	73	750.376	111	572.087	51	1065.92	68
tocar	4	sí	415.934	18	166.032	27	233.574	58	181.843	19	131.08	10
burro	4	sí	0	0	1.3169	1	7.8205	3	24.1194	4	26.3283	2
gota	4	sí	7.1507	1	2.9415	1	13.6397	3	17.3266	3	8.5078	1
torre	4	sí	29.3409	3	27.6239	5	6.8564	3	24.9545	5	0	0
escalera	4	sí	10.7086	2	17.6492	6	34.5435	7	37.6968	4	0	0
subir	4	sí	229.372	15	228.247	41	258.957	43	163.288	17	184.083	13
isabella	4	no										
justo	4	sí	42.1847	3	20.5907	6	32.362	7	84.4978	9	65.54	5
destino	4	sí	66.5584	4	2.6337	2	92.8158	15	103.92	14	8.5078	1
derrumbar	4	sí	0	0	0	0	0	0	6.8912	2	0	0
lleno	4	sí	288.668	15	324.86	41	216.56	38	135.608	15	150.618	12
gustar	4	sí	2189.64	69	1570.3	155	1329.64	173	1144.26	86	742.034	53
ven	4	no										
año	3	sí	2638.66	72	2676.7	198	2268.73	235	2694.92	178	2613.84	107
esperanza	3	sí	7.1507	1	24.4394	5	15.0522	6	48.589	6	91.3883	7
suceder	3	sí	5.0445	1	11.9743	4	71.7412	15	143.7	16	52.6565	4
paraíso	3	sí	41.9605	3	15.0411	4	5.3308	2	25.7397	4	34.0313	4
fiesta	3	sí	199.557	9	593.323	58	884.306	87	147.35	16	577.418	22
encantar	3	sí	405.906	22	521.513	60	215.048	55	304.211	30	132.599	14
brillo	3	sí	0	0	0	0	0	0	12.2342	2	9.4714	1
bendición	3	sí	0	0	0	0	5.2033	2	0	0	8.5078	1
gente	3	sí	934.85	30	837.818	71	1046.27	109	635.223	64	624.222	36
fantástico	3	sí	213.292	11	118.649	18	98.4114	18	91.9181	12	50.2059	4
imposible	3	sí	3.0086	1	113.757	17	152.702	29	62.4261	9	141.296	10
comida	3	sí	913.555	38	479.668	51	338.114	55	198.774	16	196.62	12
félix	3	no										
